time_s,nodeId,x,y,z
1,0,0,0,0
1,1,1.791,0.133,0.2
1,2,2.004,0.022,0.01
1,3,2.997,0.078,0.04
1,4,3.999,0.089,0.03
1,5,5.249,2.508,7.84
1,6,5.994,0.122,0.09
1,7,7.014,0.133,0.05
1,8,9.594,-1.47006,1.62448
1,9,-0.647,0.921,0.75
1,10,0.177,0.744,4.31
1,11,0.718,2.442,3.34
1,12,1.632,1.221,2.36
1,13,2.997,1.032,0.04
1,14,0.328,4.05833,18.9133
2,0,0,0,0
2,1,1.791,0.133,0.2
2,2,2.004,0.022,0.01
2,3,2.997,0.078,0.04
2,4,3.999,0.089,0.03
2,5,5.249,2.508,7.84
2,6,5.994,0.122,0.09
2,7,7.014,0.133,0.05
2,8,9.594,-1.48839,1.60448
2,9,-0.647,0.921,0.75
2,10,0.177,0.744,4.31
2,11,0.718,2.442,3.34
2,12,1.632,1.221,2.36
2,13,2.997,1.032,0.04
2,14,0.328,4.03267,18.9167
3,0,0,0,0
3,1,1.791,0.133,0.2
3,2,2.004,0.022,0.01
3,3,2.997,0.078,0.04
3,4,3.999,0.089,0.03
3,5,5.249,2.508,7.84
3,6,5.994,0.122,0.09
3,7,7.014,0.133,0.05
3,8,9.594,-1.50673,1.58448
3,9,-0.647,0.921,0.75
3,10,0.177,0.744,4.31
3,11,0.718,2.442,3.34
3,12,1.632,1.221,2.36
3,13,2.997,1.032,0.04
3,14,0.328,4.007,18.92
4,0,0,0,0
4,1,1.791,0.133,0.2
4,2,2.004,0.022,0.01
4,3,2.997,0.078,0.04
4,4,3.999,0.089,0.03
4,5,5.249,2.508,7.84
4,6,5.994,0.122,0.09
4,7,7.014,0.133,0.05
4,8,9.594,-1.52414,1.56172
4,9,-0.647,0.921,0.75
4,10,0.177,0.744,4.31
4,11,0.718,2.442,3.34
4,12,1.632,1.221,2.36
4,13,2.997,1.032,0.04
4,14,0.328,3.97498,18.8571
5,0,0,0,0
5,1,1.791,0.133,0.2
5,2,2.004,0.022,0.01
5,3,2.997,0.078,0.04
5,4,3.999,0.089,0.03
5,5,5.249,2.508,7.84
5,6,5.994,0.122,0.09
5,7,7.014,0.133,0.05
5,8,9.594,-1.53914,1.53172
5,9,-0.647,0.921,0.75
5,10,0.177,0.744,4.31
5,11,0.718,2.442,3.34
5,12,1.632,1.221,2.36
5,13,2.997,1.032,0.04
5,14,0.326494,3.95008,18.8
6,0,0,0,0
6,1,1.791,0.133,0.2
6,2,2.004,0.022,0.01
6,3,2.997,0.078,0.04
6,4,3.999,0.089,0.03
6,5,5.249,2.508,7.84
6,6,5.994,0.122,0.09
6,7,7.014,0.133,0.05
6,8,9.594,-1.55414,1.50172
6,9,-0.647,0.921,0.75
6,10,0.177,0.744,4.31
6,11,0.718,2.442,3.34
6,12,1.632,1.221,2.36
6,13,2.997,1.032,0.04
6,14,0.320494,3.94641,18.76
7,0,0,0,0
7,1,1.791,0.133,0.2
7,2,2.004,0.022,0.01
7,3,2.997,0.078,0.04
7,4,3.999,0.089,0.03
7,5,5.249,2.508,7.84
7,6,5.994,0.122,0.09
7,7,7.014,0.133,0.05
7,8,9.594,-1.57031,1.44622
7,9,-0.647,0.921,0.75
7,10,0.177,0.744,4.31
7,11,0.718,2.442,3.34
7,12,1.632,1.221,2.36
7,13,2.997,1.032,0.04
7,14,0.314494,3.94275,18.72
8,0,0,0,0
8,1,1.791,0.133,0.2
8,2,2.004,0.022,0.01
8,3,2.997,0.078,0.04
8,4,3.999,0.089,0.03
8,5,5.249,2.508,7.84
8,6,5.994,0.122,0.09
8,7,7.014,0.133,0.05
8,8,9.594,-1.59173,1.35836
8,9,-0.647,0.921,0.75
8,10,0.177,0.744,4.31
8,11,0.718,2.442,3.34
8,12,1.632,1.221,2.36
8,13,2.997,1.032,0.04
8,14,0.309247,3.94368,18.6833
9,0,0,0,0
9,1,1.791,0.133,0.2
9,2,2.004,0.022,0.01
9,3,2.997,0.078,0.04
9,4,3.999,0.089,0.03
9,5,5.249,2.508,7.84
9,6,5.994,0.122,0.09
9,7,7.014,0.133,0.05
9,8,9.594,-1.61407,1.285
9,9,-0.647,0.921,0.75
9,10,0.177,0.744,4.31
9,11,0.718,2.442,3.34
9,12,1.632,1.221,2.36
9,13,2.997,1.032,0.04
9,14,0.306247,3.95835,18.6566
10,0,0,0,0
10,1,1.791,0.133,0.2
10,2,2.004,0.022,0.01
10,3,2.997,0.078,0.04
10,4,3.999,0.089,0.03
10,5,5.249,2.508,7.84
10,6,5.994,0.122,0.09
10,7,7.014,0.133,0.05
10,8,9.594,-1.63641,1.21164
10,9,-0.647,0.921,0.75
10,10,0.177,0.744,4.31
10,11,0.718,2.442,3.34
10,12,1.632,1.221,2.36
