FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
7852,10.0.0.4,10.0.0.10,8,8,0,0,68341.3,0.001336
7853,10.0.0.14,10.0.0.13,15,15,0,0,1.03732e+06,0.00292
7854,10.0.0.13,10.0.0.14,8,8,0,0,68341.2,0.00133602
7855,10.0.0.12,10.0.0.8,15,15,0,0,1.03637e+06,0.00295809
7856,10.0.0.8,10.0.0.12,8,8,0,0,68340.8,0.00133611
7857,10.0.0.9,10.0.0.3,15,15,0,0,1.03897e+06,0.00284365
7858,10.0.0.3,10.0.0.9,8,8,0,0,68341.3,0.00133601
7859,10.0.0.15,10.0.0.4,15,15,0,0,1.03733e+06,0.00288254
7860,10.0.0.4,10.0.0.15,8,8,0,0,68341.3,0.001336
7861,10.0.0.2,10.0.0.1,15,15,0,0,1.03895e+06,0.00285471
7862,10.0.0.1,10.0.0.2,8,8,0,0,68341.3,0.00133601
7863,10.0.0.2,10.0.0.12,15,15,0,0,1.03743e+06,0.00284802
7864,10.0.0.12,10.0.0.2,8,8,0,0,68340.8,0.00133611
7865,10.0.0.7,10.0.0.13,15,15,0,0,1.03899e+06,0.00287955
7866,10.0.0.13,10.0.0.7,8,8,0,0,68340.6,0.00133614
7867,10.0.0.11,10.0.0.6,15,15,0,0,1.03735e+06,0.00295406
7868,10.0.0.6,10.0.0.11,8,8,0,0,68341,0.00133607
7869,10.0.0.11,10.0.0.9,15,15,0,0,1.03778e+06,0.0028406
7870,10.0.0.9,10.0.0.11,8,8,0,0,68328.5,0.00133607
7871,10.0.0.6,10.0.0.5,13,13,0,0,854310,0.0108597
7872,10.0.0.5,10.0.0.6,7,7,0,0,72194,0.00121401
7873,10.0.0.7,10.0.0.1,15,15,0,0,1.03669e+06,0.00298862
7874,10.0.0.1,10.0.0.7,8,8,0,0,68341.3,0.001336
7875,10.0.0.15,10.0.0.11,15,15,0,0,1.03639e+06,0.00296418
7876,10.0.0.11,10.0.0.15,8,8,0,0,68341,0.00133607
7877,10.0.0.4,10.0.0.11,15,15,0,0,1.03664e+06,0.00300372
7878,10.0.0.11,10.0.0.4,8,8,0,0,68328.5,0.00133607
7879,10.0.0.2,10.0.0.1,15,15,0,0,1.03716e+06,0.00291688
7880,10.0.0.1,10.0.0.2,8,8,0,0,68341.3,0.00133601
7881,10.0.0.11,10.0.0.7,15,15,0,0,1.03873e+06,0.00286734
7882,10.0.0.7,10.0.0.11,8,8,0,0,68341,0.00133607
7883,10.0.0.10,10.0.0.15,15,15,0,0,1.03873e+06,0.0028213
7884,10.0.0.15,10.0.0.10,8,8,0,0,68328.8,0.001336
7885,10.0.0.3,10.0.0.14,15,15,0,0,1.03897e+06,0.00524902
7886,10.0.0.14,10.0.0.3,8,8,0,0,71907.7,0.00133617
7887,10.0.0.14,10.0.0.3,15,15,0,0,1.03801e+06,0.00282024
7888,10.0.0.3,10.0.0.14,8,8,0,0,68340.5,0.00133617
7889,10.0.0.11,10.0.0.13,15,15,0,0,1.03882e+06,0.0028494
7890,10.0.0.13,10.0.0.11,8,8,0,0,68341,0.00133607
7891,10.0.0.13,10.0.0.1,15,15,0,0,1.03783e+06,0.00285548
7892,10.0.0.1,10.0.0.13,8,8,0,0,68340.6,0.00133614
7893,10.0.0.1,10.0.0.6,15,15,0,0,1.0382e+06,0.00280841
7894,10.0.0.6,10.0.0.1,8,8,0,0,68341.3,0.001336
